TRN_DATE            ,AMOUNT              ,CURRENCY            ,ORG_AMT             ,ORG_CURR            ,EXG_RATE            ,PMT_TYPE            ,PMT_DIR             ,MSG_TYPE            ,ORD_CUS_ID          ,ORD_CUS_NM                                                                                                                                                                                              ,ORD_CUS_ADD                                                                                                                                                                                             ,ORD_CUS_JUR                        ,ORD_BK_ACC_NUM                          ,ORD_BK_BIC                         ,ORD_BK_NM                                                                                                                                                                                               ,ORD_BK_ADD                         ,ORD_BK_JUR                         ,SND_BK_ACC_NUM                          ,SND_BK_BIC                         ,SND_BK_NM                                                                                                                                                                                               ,SND_BK_ADD                                                                                                                                                                                              ,SND_BK_JUR                         ,REC_BK_ACC_NUM                          ,REC_BK_BIC                         ,REC_BK_NM                                                                                                                                                                                               ,REC_BK_ADD                                                                                                                                                                                              ,REC_BK_JUR                         ,ACC_INS_ACC_NUM                         ,ACC_INS_BIC                        ,ACC_INS_NM                                                                                                                                                                                              ,ACC_INS_ADD                                                                                                                                                                                             ,ACC_INS_JUR                        ,BEN_INS_BIC                        ,BEN_INS_NM                                                                                                                                                                                              ,BEN_INS_ADD                                                                                                                                                                                             ,BEN_INS_JUR                        ,BEN_CUS_ACCT                                                                                                                                                                                              ,BEN_CUS_ADD                                                                                                                                                                                             ,BEN_CUS_JUR                        ,INT_BK_ACC_NUM                     ,INT_BK_BIC                              ,INT_BK_NM                                                                                                                                                                                               ,INT_BK_ADD                                                                                                                                                                                              ,INT_BK_JUR                         ,SEN_COR_ACC_NUM                    ,SEN_COR_BIC                             ,SEN_COR_NM                                                                                                                                                                                              ,SEN_COR_ADD                                                                                                                                                                                             ,SEN_COR_JUR                        ,REC_COR_ACC_NUM                    ,REC_COR_BIC                             ,REC_COR_NM                                                                                                                                                                                              ,REC_COR_ADD                                                                                                                                                                                             ,REC_COR_JUR                        ,THD_REI_ACC_NUM                    ,THD_REI_BIC                             ,THD_REI_NM                                                                                                                                                                                              ,THD_REI_ADD                                                                                                                                                                                             ,THD_REI_JUR                        ,SNDING_INS_ACC_NUM                 ,SNDING_INS_BIC                          ,SNDING_INS_NM                                                                                                                                                                                           ,SNDING_INS_ADD                                                                                                                                                                                          ,SNDING_INS_JUR                     ,COV_BEN_CUS_ID                          ,COV_BEN_CUS_NM                                                                                                                                                                                          ,COV_BEN_CUS_ADD                                                                                                                                                                                         ,COV_BEN_CUS_JUR                    ,COV_BEN_INS_ACC_NUM                ,COV_BEN_INS_BIC                         ,COV_BEN_INS_NM                                                                                                                                                                                          ,COV_BEN_INS_ADD                                                                                                                                                                                         ,COV_BEN_INS_JUR                    ,COV_INT_BK_ACC_NUM                 ,COV_INT_BK_BIC                          ,COV_INT_BK_NM                                                                                                                                                                                           ,COV_INT_BK_ADD                                                                                                                                                                                          ,COV_INT_BK_JUR                     ,COV_ACC_INS_ACC_NUM                ,COV_ACC_INS_BIC                         ,COV_ACC_INS_NM                                                                                                                                                                                          ,COV_ACC_INS_ADD                                                                                                                                                                                         ,COV_ACC_INS_JUR                    ,COV_ORD_CUS_ID                          ,COV_ORD_CUS_NM                                                                                                                                                                                          ,COV_ORD_CUS_ADD                                                                                                                                                                                         ,COV_ORD_CUS_JUR                    ,COV_ORD_BK_ACC_NUM                 ,COV_ORD_BK_BIC                          ,COV_ORD_BK_NM                                                                                                                                                                                           ,COV_ORD_BK_ADD                                                                                                                                                                                          ,COV_ORD_BK_JUR                     ,COV_REMIT_INFO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,COV_SEN_REC_INFO
9/26/2018,5009166.67,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,ABCBHKHH,,,HKG,/0011011988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10/4/2018,10019000,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/0011382322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10/15/2018,7015244.44,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10/18/2018,48101266.67,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10/18/2018,40084388.89,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10/18/2018,18037975,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10/19/2018,10020166.67,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,DEFCGB2L,,,GBR,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10/19/2018,5010208.33,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,abcbus3n,,,USA,ABDCTWTP,,,TWN,/0011921681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10/24/2018,23046958.33,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,QWETHKHH,,,HKG,/6550297001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
11/2/2018,15031775,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,DEFCGB2L,,,GBR,/400929988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
11/1/2018,10019575,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,ABCBHKHH,,,HKG,/0011921681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
11/5/2018,6013120,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/0011382322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/17/2018,7033687.5,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
11/19/2018,5011045.83,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,DEFCGB2L,,,GBR,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
11/19/2018,48106666.67,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/0011921681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
11/19/2018,40088888.89,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
11/19/2018,18040000,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
11/19/2018,15031645.83,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,SCSBTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/24/2018,23111070.83,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/0011864287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1/18/2019,30212666.67,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,defeus33,,,USA,MRLBUS33,,,USA,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
11/19/2018,10018666.67,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,hijius3n,,,USA,QWEBHKHH,,,HKG,/36142385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
11/23/2018,8016533.33,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,AABCTWTP,,,TWN,/8900676981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/3/2018,11023775.28,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/0011862851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1/7/2019,6030975,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/19/2018,48100000,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/19/2018,40083333.33,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/19/2018,18037500,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1/22/2019,26140977.78,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/7/2018,8007124.44,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,ABCCHKHH,,,HKG,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/28/2018,10019091.67,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,ABCBHKHH,,,HKG,/0011946209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/28/2018,8015273.33,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,ABCBHKHH,,,HKG,/0011382322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1/3/2019,16042297.78,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,AABCTWTP,,,TWN,/0011382322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1/7/2019,7018806.67,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,LBOTTWTP,,,TWN,/0011862851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2/19/2019,7041315.56,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/0011861309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1/22/2019,50151111.11,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1/22/2019,20060444.44,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2/25/2019,23131215,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1/22/2019,30088000,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,AABCTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2/4/2019,16039111.11,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,ABCDHKHH,,,HKG,/0011862851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10/1/2018,115079.91,USD,115087.91,USD,,SW,OUT,MT103,/0000443352," harry products, llc"," 100 REMINGTON ROAD SCHAUMBURG, ny  10026",,/206030300150,MRLRUS4C,,,USA,,MRLRUS4C,,,USA,,MRLRWTP004,,,TWN,,MRLRWTP004,,,TWN,mrlrus33,,,TWN,/8900086475,"BEYONCE RD, TAICHUNG TAIWAN",,,,,,,,,,,,,MRLRWTP011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1/3/2019,10036,USD,10036,USD,,SW,OUT,MT103,/0000442852,BIG BIRD ECONOMIC AND CULTURAL OFFICE,"KANYE DRIVE, SUITE 3 CHICAGO, IL 60601",,/120162,MRLRUS4C,,,USA,,MRLRUS4C,,,USA,,MRLRWTP007,,,TWN,,MRLRWTP007,,,TWN,mrlrus33,,,TWN,/4000800581,"ROC NATION, TAIPEI, ROC (TAIWAN)",,,,,,,,,,,,,MRLRWTP011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
